,City,SolarUnitCount,County,Pop_2010,Area_SqMi
243,Crockett,12,,0,0
244,Crowley Lake,20,,0,0
245,Cucamonga,1,,0,0
246,Cudahy,4,Los Angeles,23805,1.18
247,Culver City,281,Los Angeles,38883,5.11
248,Cupertino,450,Santa Clara,58302,11.26
249,Cutler,5,,0,0
250,Cypress,322,Orange,47802,6.58
251,Daggett,3,,0,0
252,Daly City,86,San Mateo,101123,7.66
253,Dana Point,81,Orange,33351,6.5
254,Danville,657,Contra Costa,42039,18.03
255,Davenport,6,,0,0
256,Davis,669,Yolo,65622,9.89
257,Death Valley,9,,0,0
258,Death Valley Junction,6,,0,0
259,Deer Park,1,,0,0
260,Del Mar,169,San Diego,4161,1.71
261,Del Rey,8,,0,0
262,Del Sur,1,,0,0
263,Delano,160,Kern,53041,14.3
264,Denair,12,,0,0
265,Descanso,20,,0,0
266,Desert Hot Springs,368,Riverside,25938,23.62
267,Devore Heights,1,,0,0
268,Diablo,16,,0,0
269,Diamond Bar,317,Los Angeles,55544,14.88
270,Diamond Springs,8,,0,0
271,Dillon Beach,4,,0,0
272,Dinuba,90,Tulare,21453,6.47
273,Discovery Bay,91,,0,0
274,Dixon,146,Solano,18351,7
275,Dobbins,1,,0,0
276,Dos Palos,18,Merced,4950,1.35
277,Dos Rios,2,,0,0
278,Douglas Flat,1,,0,0
279,Dove Canyon,9,,0,0
280,Downey,272,Los Angeles,111772,12.41
281,Downieville,1,,0,0
282,Drytown,2,,0,0
283,Dsrt Hot Spgs,3,,0,0
284,Duarte,100,Los Angeles,21321,6.69
285,Dublin,223,Alameda,46036,14.91
286,Ducor,6,,0,0
287,Dulzura,10,,0,0
288,Dunlap,3,,0,0
289,Dunnigan,12,,0,0
290,Durham,58,,0,0
291,Dutch Flat,2,,0,0
292,Earlimart,26,,0,0
293,East Los Angeles,2,,0,0
294,East Nicolaus,1,,0,0
295,East Palo Alto,28,San Mateo,28155,2.51
296,Eastvale,41,Riverside,53670,13.1
297,Eden Valley,1,,0,0
298,Edison,3,,0,0
299,Edwards,12,,0,0
300,Edwards Air Force Base,1,,0,0
301,El Cajon,1242,San Diego,99478,14.43
302,El Cerrito,158,Contra Costa,23549,3.69
303,El Dorado,44,,0,0
304,El Dorado Hills,779,,0,0
305,El Granada,44,,0,0
306,El Macero,16,,0,0
307,El Monte,116,Los Angeles,113475,9.56
308,El Nido,7,,0,0
309,El Portal,2,,0,0
310,El Segundo,114,Los Angeles,16654,5.46
311,El Sobrante,72,,0,0
312,El Toro,4,,0,0
313,El Verano,1,,0,0
314,Elk,2,,0,0
315,Elk Creek,2,,0,0
316,Elverta,9,,0,0
317,Emerald Hills,15,,0,0
318,Emeryville,23,Alameda,10080,1.25
319,Encinitas,501,San Diego,59518,18.81
320,Escalon,84,San Joaquin,7132,2.3
321,Escondido,1565,San Diego,143911,36.81
322,Esparto,34,,0,0
323,Essex,1,,0,0
324,Etiwanda,46,,0,0
325,Eureka,46,Humboldt,27191,9.38
326,Exeter,204,Tulare,10334,2.46
327,Fair Play,1,,0,0
328,Fairfax,72,Marin,7441,2.2
329,Fairfield,282,Solano,105321,37.39
330,Fall River Mills,10,,0,0
331,Fallbrook,693,,0,0
332,Farmersville,28,Tulare,10588,2.26
333,Farmington,9,,0,0
334,Felton,36,,0,0
335,Ferndale,7,Humboldt,1371,1.03
336,Fiddletown,16,,0,0
337,Fillmore,84,Ventura,15002,3.36
338,Firebaugh,46,Fresno,7549,3.46
339,Five Points,4,,0,0
340,Flintridge,20,,0,0
341,Flournoy,1,,0,0
342,Fontana,891,San Bernardino,196069,42.43
343,Foothill Ranch,94,,0,0
344,Forest Falls,1,,0,0
345,Forest Knolls,4,,0,0
346,Forest Ranch,15,,0,0
347,Foresthill,25,,0,0
348,Forestville,57,,0,0
349,Fort Bragg,77,Mendocino,7273,2.75
350,Fort Irwin,6,,0,0
351,Fortuna,18,Humboldt,11926,4.85
352,Foster City,83,San Mateo,30567,3.76
353,Fountain Valley,346,Orange,55313,9.02
354,Fountain Vly,3,,0,0
355,Fowler,49,Fresno,5570,2.53
356,Frazier Park,23,,0,0
357,Freedom,2,,0,0
358,Freestone,1,,0,0
359,Fremont,725,Alameda,214089,77.46
360,French Camp,7,,0,0
361,Fresno,3133,Fresno,494665,111.96
362,Friant,23,,0,0
363,Fullerton,658,Orange,135161,22.35
364,Fulton,9,,0,0
365,Galt,5,Sacramento,23647,5.93
366,Garberville,4,,0,0
367,Garden Grove,393,Orange,170883,17.94
368,Garden Valley,16,,0,0
369,Gardena,87,Los Angeles,58829,5.83
370,Gaviota,3,,0,0
371,Georgetown,16,,0,0
372,Gerber,23,,0,0
373,Geyserville,38,,0,0
374,Gilroy,405,Santa Clara,48821,16.15
375,Glen Ellen,109,,0,0
376,Glencoe,4,,0,0
377,Glendora,410,Los Angeles,50073,19.39
378,Glenn,47,,0,0
379,Glennville,6,,0,0
380,Gold Run,1,,0,0
381,Goleta,233,Santa Barbara,29888,7.9
382,Gonzales,11,Monterey,8187,1.92
383,Gorman,1,,0,0
