,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
131,El Centro,194.0,0.0,10.0,120.0,130.0,64.0,194.0,0.0,4.0,134.0,138.0,56.0,8.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,74.0,0.0,0.0,72.0,72.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0
132,El Cerrito,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
133,El Dorado County Unincorporated Area,482.0,0.0,0.0,0.0,0.0,482.0,390.0,0.0,0.0,140.0,140.0,250.0,113.0,0.0,0.0,0.0,0.0,113.0,107.0,2.0,0.0,0.0,2.0,105.0,127.0,0.0,0.0,0.0,0.0,127.0,205.0,0.0,0.0,40.0,40.0,165.0,181.0,0.0,0.0,0.0,0.0,181.0
134,El Monte,99.0,0.0,0.0,0.0,0.0,99.0,33.0,0.0,0.0,0.0,0.0,33.0,178.0,0.0,0.0,0.0,0.0,178.0,9.0,0.0,0.0,0.0,0.0,9.0,100.0,0.0,0.0,68.0,68.0,32.0,80.0,0.0,0.0,61.0,61.0,19.0,42.0,0.0,0.0,0.0,0.0,42.0
135,El Segundo,23.0,0.0,0.0,0.0,0.0,23.0,21.0,0.0,4.0,0.0,4.0,17.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,0.0,0.0,8.0,3.0,14.0,0.0,0.0,0.0,0.0,14.0,22.0,6.0,3.0,0.0,9.0,13.0
136,Eldorado County Unincorporated Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Elk Grove,693.0,0.0,0.0,0.0,0.0,693.0,791.0,0.0,0.0,534.0,534.0,257.0,201.0,0.0,0.0,0.0,0.0,201.0,411.0,0.0,0.0,115.0,115.0,296.0,525.0,0.0,0.0,273.0,273.0,252.0,368.0,0.0,0.0,0.0,0.0,368.0,387.0,0.0,0.0,0.0,0.0,387.0
138,Emeryville,139.0,2.0,3.0,131.0,136.0,3.0,127.0,0.0,0.0,125.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0,1.0,256.0,2.0,3.0,251.0,256.0,0.0,191.0,0.0,0.0,190.0,190.0,1.0
139,Encinitas,129.0,6.0,0.0,14.0,20.0,109.0,86.0,4.0,0.0,0.0,4.0,82.0,44.0,2.0,0.0,0.0,2.0,42.0,35.0,0.0,0.0,0.0,0.0,35.0,89.0,0.0,0.0,0.0,0.0,89.0,99.0,0.0,0.0,20.0,20.0,79.0,87.0,0.0,0.0,0.0,0.0,87.0
140,Escalon,19.0,0.0,0.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0
141,Escondido,236.0,4.0,4.0,97.0,105.0,131.0,183.0,8.0,0.0,55.0,63.0,120.0,175.0,0.0,0.0,61.0,61.0,114.0,139.0,0.0,0.0,55.0,55.0,84.0,144.0,0.0,0.0,112.0,112.0,32.0,42.0,0.0,0.0,36.0,36.0,6.0,69.0,2.0,10.0,49.0,61.0,8.0
142,Etna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Eureka,18.0,0.0,4.0,0.0,4.0,14.0,10.0,0.0,6.0,0.0,6.0,4.0,9.0,0.0,4.0,0.0,4.0,5.0,21.0,2.0,0.0,16.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,20.0,22.0,5.0,8.0,4.0,0.0,0.0,4.0,4.0
144,Exeter,13.0,2.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Fairfax Town,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
146,Fairfield,206.0,22.0,4.0,0.0,26.0,180.0,34.0,0.0,0.0,0.0,0.0,34.0,147.0,0.0,0.0,0.0,0.0,147.0,139.0,0.0,0.0,0.0,0.0,139.0,181.0,0.0,0.0,0.0,0.0,181.0,277.0,0.0,0.0,0.0,0.0,277.0,217.0,0.0,0.0,0.0,0.0,217.0
147,Farmersville,33.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Ferndale,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
149,Fillmore,29.0,0.0,0.0,0.0,0.0,29.0,37.0,0.0,29.0,0.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,21.0
150,Firebaugh,33.0,0.0,0.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,15.0,44.0,0.0,0.0,0.0,0.0,44.0,46.0,0.0,0.0,0.0,0.0,46.0,37.0,0.0,0.0,0.0,0.0,37.0,49.0,0.0,0.0,0.0,0.0,49.0,58.0,0.0,0.0,0.0,0.0,58.0
151,Folsom,197.0,0.0,3.0,18.0,21.0,176.0,131.0,0.0,0.0,6.0,6.0,125.0,93.0,0.0,0.0,0.0,0.0,93.0,74.0,0.0,7.0,19.0,26.0,48.0,99.0,0.0,6.0,34.0,40.0,59.0,222.0,0.0,0.0,57.0,57.0,165.0,341.0,4.0,0.0,0.0,4.0,337.0
152,Fontana,820.0,0.0,0.0,26.0,26.0,794.0,187.0,4.0,0.0,6.0,10.0,177.0,526.0,0.0,4.0,196.0,200.0,326.0,305.0,14.0,88.0,100.0,202.0,103.0,136.0,0.0,0.0,0.0,0.0,136.0,277.0,0.0,0.0,98.0,98.0,179.0,223.0,0.0,0.0,0.0,0.0,223.0
153,Fort Bragg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Fort Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Fortuna,47.0,0.0,8.0,20.0,28.0,19.0,18.0,0.0,8.0,0.0,8.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,8.0,27.0,35.0,9.0
156,Foster City,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
157,Fountain Valley,52.0,0.0,0.0,47.0,47.0,5.0,68.0,0.0,0.0,0.0,0.0,68.0,55.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,26.0,32.0,0.0,0.0,0.0,0.0,32.0,58.0,0.0,8.0,12.0,20.0,38.0
158,Fowler,103.0,2.0,0.0,0.0,2.0,101.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,85.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,30.0
159,Fremont,402.0,0.0,7.0,203.0,210.0,192.0,280.0,0.0,0.0,110.0,110.0,170.0,301.0,4.0,0.0,76.0,80.0,221.0,315.0,0.0,3.0,212.0,215.0,100.0,506.0,0.0,0.0,379.0,379.0,127.0,225.0,0.0,0.0,64.0,64.0,161.0,224.0,0.0,0.0,48.0,48.0,176.0
160,Fresno,2887.0,42.0,153.0,676.0,871.0,2016.0,1567.0,8.0,25.0,304.0,337.0,1230.0,1120.0,4.0,21.0,5.0,30.0,1090.0,1199.0,4.0,17.0,188.0,209.0,990.0,891.0,6.0,16.0,163.0,185.0,706.0,1047.0,8.0,18.0,266.0,292.0,755.0,1439.0,2.0,32.0,245.0,279.0,1160.0
161,Fresno County Unincorporated Area,323.0,4.0,27.0,0.0,31.0,292.0,159.0,0.0,12.0,0.0,12.0,147.0,119.0,0.0,13.0,0.0,13.0,106.0,126.0,0.0,15.0,0.0,15.0,111.0,124.0,0.0,15.0,0.0,15.0,109.0,176.0,0.0,25.0,0.0,25.0,151.0,212.0,0.0,29.0,0.0,29.0,183.0
162,Fullerton,37.0,2.0,0.0,0.0,2.0,35.0,170.0,2.0,0.0,137.0,139.0,31.0,6.0,2.0,0.0,0.0,2.0,4.0,59.0,2.0,9.0,0.0,11.0,48.0,13.0,0.0,6.0,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,135.0,0.0,8.0,0.0,8.0,127.0
163,Galt,46.0,0.0,0.0,0.0,0.0,46.0,13.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,0.0,41.0
164,Garden Grove,175.0,2.0,0.0,132.0,134.0,41.0,21.0,2.0,0.0,6.0,8.0,13.0,17.0,0.0,0.0,14.0,14.0,3.0,94.0,0.0,0.0,32.0,32.0,62.0,70.0,0.0,6.0,33.0,39.0,31.0,97.0,0.0,0.0,33.0,33.0,64.0,84.0,0.0,0.0,59.0,59.0,25.0
165,Gardena,98.0,18.0,0.0,0.0,18.0,80.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,4.0,0.0,0.0,4.0,19.0,102.0,0.0,0.0,15.0,15.0,87.0,4.0,0.0,0.0,0.0,0.0,4.0
166,Gilroy,216.0,14.0,0.0,27.0,41.0,175.0,12.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,17.0,84.0,0.0,0.0,0.0,0.0,84.0,169.0,0.0,0.0,0.0,0.0,169.0,251.0,0.0,0.0,26.0,26.0,225.0,163.0,0.0,0.0,0.0,0.0,163.0
167,Glendale,610.0,0.0,0.0,587.0,587.0,23.0,249.0,0.0,4.0,222.0,226.0,23.0,52.0,0.0,4.0,34.0,38.0,14.0,99.0,6.0,8.0,78.0,92.0,7.0,239.0,2.0,0.0,226.0,228.0,11.0,404.0,0.0,4.0,390.0,394.0,10.0,1146.0,0.0,8.0,1126.0,1134.0,12.0
168,Glendora,18.0,0.0,3.0,0.0,3.0,15.0,176.0,0.0,33.0,87.0,120.0,56.0,161.0,4.0,27.0,125.0,156.0,5.0,22.0,0.0,21.0,0.0,21.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,72.0,0.0,17.0,53.0,70.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
169,Glenn County Unincorporated Area,74.0,0.0,0.0,0.0,0.0,74.0,19.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0
170,Goleta,14.0,0.0,0.0,0.0,0.0,14.0,43.0,0.0,0.0,0.0,0.0,43.0,37.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0
171,Gonzales,1.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,44.0,0.0,44.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Grand Terrace,17.0,4.0,10.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Grass Valley,18.0,4.0,0.0,0.0,4.0,14.0,12.0,0.0,0.0,7.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,42.0,0.0,4.0,30.0,34.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0
174,Greenfield,98.0,0.0,0.0,25.0,25.0,73.0,37.0,0.0,0.0,27.0,27.0,10.0,41.0,8.0,32.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Gridley,76.0,0.0,0.0,0.0,0.0,76.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Grover Beach,42.0,0.0,0.0,6.0,6.0,36.0,17.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,6.0,0.0,6.0,6.0
177,Guadalupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Gustine,22.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Half Moon Bay,21.0,2.0,0.0,0.0,2.0,19.0,17.0,2.0,0.0,0.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,9.0,97.0,0.0,0.0,85.0,85.0,12.0,72.0,0.0,0.0,59.0,59.0,13.0
180,Hanford,279.0,10.0,3.0,0.0,13.0,266.0,99.0,0.0,0.0,0.0,0.0,99.0,87.0,0.0,0.0,0.0,0.0,87.0,134.0,4.0,0.0,48.0,52.0,82.0,49.0,0.0,0.0,0.0,0.0,49.0,101.0,0.0,0.0,0.0,0.0,101.0,141.0,0.0,0.0,5.0,5.0,136.0
181,Hawaiian Gardens,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Hawthorne,161.0,0.0,0.0,143.0,143.0,18.0,12.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,9.0,117.0,0.0,0.0,108.0,108.0,9.0,59.0,0.0,0.0,58.0,58.0,1.0,108.0,0.0,0.0,89.0,89.0,19.0,305.0,0.0,3.0,170.0,173.0,132.0
183,Hayward,255.0,0.0,0.0,0.0,0.0,255.0,157.0,0.0,0.0,0.0,0.0,157.0,204.0,0.0,0.0,0.0,0.0,204.0,248.0,0.0,0.0,0.0,0.0,248.0,223.0,0.0,0.0,0.0,0.0,223.0,185.0,2.0,0.0,0.0,2.0,183.0,183.0,0.0,0.0,22.0,22.0,161.0
184,Healdsburg,32.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,25.0,81.0,0.0,0.0,71.0,71.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,12.0,34.0,2.0,0.0,0.0,2.0,32.0
185,Hemet,613.0,4.0,16.0,198.0,218.0,395.0,121.0,0.0,0.0,0.0,0.0,121.0,208.0,0.0,0.0,65.0,65.0,143.0,170.0,0.0,0.0,40.0,40.0,130.0,62.0,0.0,0.0,0.0,0.0,62.0,32.0,0.0,0.0,0.0,0.0,32.0,120.0,0.0,0.0,0.0,0.0,120.0
186,Hercules,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Hermosa Beach,39.0,0.0,0.0,0.0,0.0,39.0,51.0,0.0,0.0,0.0,0.0,51.0,7.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,27.0,22.0,0.0,0.0,0.0,0.0,22.0,32.0,0.0,0.0,0.0,0.0,32.0
188,Hesperia,360.0,0.0,24.0,10.0,34.0,326.0,255.0,2.0,0.0,64.0,66.0,189.0,2.0,0.0,0.0,0.0,0.0,2.0,69.0,0.0,0.0,67.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
189,Hidden Hills,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0
190,Highland,75.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,16.0,29.0,0.0,0.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,0.0,8.0
191,Hillsborough Town,20.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,14.0
192,Hollister,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,41.0,0.0,0.0,0.0,0.0,41.0,27.0,0.0,0.0,0.0,0.0,27.0,38.0,0.0,0.0,0.0,0.0,38.0,120.0,2.0,0.0,0.0,2.0,118.0
193,Holtville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Hughson,31.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,9.0,34.0,0.0,0.0,0.0,0.0,34.0,36.0,0.0,0.0,0.0,0.0,36.0,45.0,0.0,0.0,0.0,0.0,45.0
195,Humboldt County Unincorporated Area,271.0,2.0,18.0,28.0,48.0,223.0,261.0,0.0,20.0,76.0,96.0,165.0,152.0,2.0,16.0,0.0,18.0,134.0,128.0,2.0,0.0,0.0,2.0,126.0,200.0,0.0,32.0,31.0,63.0,137.0,107.0,0.0,16.0,12.0,28.0,79.0,89.0,0.0,0.0,0.0,0.0,89.0
196,Huntington Beach,55.0,2.0,0.0,0.0,2.0,53.0,30.0,2.0,0.0,0.0,2.0,28.0,9.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,16.0,0.0,16.0,4.0,69.0,6.0,39.0,0.0,45.0,24.0,931.0,0.0,55.0,859.0,914.0,17.0,1172.0,2.0,91.0,1055.0,1148.0,24.0
197,Huntington Park,3.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,6.0,1.0,24.0,0.0,0.0,24.0,24.0,0.0
198,Huron,110.0,0.0,20.0,81.0,101.0,9.0,104.0,0.0,0.0,101.0,101.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Imperial,301.0,0.0,0.0,48.0,48.0,253.0,72.0,0.0,0.0,0.0,0.0,72.0,98.0,0.0,0.0,0.0,0.0,98.0,84.0,0.0,0.0,0.0,0.0,84.0,117.0,0.0,0.0,0.0,0.0,117.0,173.0,0.0,0.0,0.0,0.0,173.0,234.0,0.0,0.0,0.0,0.0,234.0
200,Imperial Beach,24.0,0.0,0.0,5.0,5.0,19.0,11.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,4.0,2.0,35.0,0.0,0.0,30.0,30.0,5.0,15.0,0.0,0.0,0.0,0.0,15.0
201,Imperial County Unincorporated Area,156.0,0.0,40.0,0.0,40.0,116.0,45.0,0.0,4.0,8.0,12.0,33.0,51.0,0.0,4.0,0.0,4.0,47.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0
202,Indian Wells,85.0,0.0,0.0,0.0,0.0,85.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,17.0,25.0,0.0,0.0,0.0,0.0,25.0
203,Indio,373.0,0.0,24.0,56.0,80.0,293.0,228.0,0.0,0.0,0.0,0.0,228.0,286.0,0.0,0.0,0.0,0.0,286.0,268.0,0.0,0.0,0.0,0.0,268.0,214.0,0.0,0.0,0.0,0.0,214.0,194.0,0.0,3.0,0.0,3.0,191.0,467.0,0.0,0.0,115.0,115.0,352.0
204,Industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Inglewood,49.0,2.0,12.0,0.0,14.0,35.0,17.0,2.0,4.0,0.0,6.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,163.0,2.0,0.0,156.0,158.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,3.0,0.0,5.0,1.0,6.0,2.0,3.0,0.0,5.0,1.0
206,Inyo County Unincorporated Area,13.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0
