,Location,Total_2007,MultiFamily(2)_2007,MultiFamily(3to4)_2007,MultiFamily(5)_2007,MultiFamily(all)_2007,SingleFamily_2007,Total_2008,MultiFamily(2)_2008,MultiFamily(3to4)_2008,MultiFamily(5)_2008,MultiFamily(all)_2008,SingleFamily_2008,Total_2009,MultiFamily(2)_2009,MultiFamily(3to4)_2009,MultiFamily(5)_2009,MultiFamily(all)_2009,SingleFamily_2009,Total_2010,MultiFamily(2)_2010,MultiFamily(3to4)_2010,MultiFamily(5)_2010,MultiFamily(all)_2010,SingleFamily_2010,Total_2011,MultiFamily(2)_2011,MultiFamily(3to4)_2011,MultiFamily(5)_2011,MultiFamily(all)_2011,SingleFamily_2011,Total_2012,MultiFamily(2)_2012,MultiFamily(3to4)_2012,MultiFamily(5)_2012,MultiFamily(all)_2012,SingleFamily_2012,Total_2013,MultiFamily(2)_2013,MultiFamily(3to4)_2013,MultiFamily(5)_2013,MultiFamily(all)_2013,SingleFamily_2013
25,Auburn,35.0,0.0,4.0,5.0,9.0,26.0,10.0,0.0,6.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,0.0,60.0,60.0,2.0,14.0,0.0,0.0,0.0,0.0,14.0
26,Avalon,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
27,Avenal,21.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,16.0,31.0,0.0,0.0,0.0,0.0,31.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,10.0
28,Azusa,170.0,8.0,3.0,0.0,11.0,159.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,35.0,153.0,0.0,0.0,0.0,0.0,153.0,136.0,0.0,0.0,0.0,0.0,136.0,208.0,0.0,0.0,0.0,0.0,208.0
29,Bakersfield,2133.0,128.0,113.0,72.0,313.0,1820.0,1551.0,160.0,90.0,263.0,513.0,1038.0,1176.0,6.0,0.0,83.0,89.0,1087.0,1074.0,6.0,8.0,244.0,258.0,816.0,422.0,0.0,0.0,0.0,0.0,422.0,1379.0,4.0,28.0,256.0,288.0,1091.0,1524.0,6.0,23.0,329.0,358.0,1166.0
30,Baldwin Park,28.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,12.0,47.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0
31,Banning,14.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32,Barstow,71.0,0.0,0.0,0.0,0.0,71.0,32.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
33,Beaumont,1033.0,0.0,0.0,0.0,0.0,1033.0,300.0,0.0,0.0,0.0,0.0,300.0,350.0,0.0,0.0,0.0,0.0,350.0,333.0,0.0,0.0,0.0,0.0,333.0,169.0,0.0,0.0,0.0,0.0,169.0,273.0,0.0,0.0,0.0,0.0,273.0,500.0,0.0,0.0,0.0,0.0,500.0
34,Bell,18.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
