,City,County,Pop_2010,Area_SqMi
209,Monrovia,Los Angeles,36590,13.6
210,Los Banos,Merced,35972,9.99
211,Martinez,Contra Costa,35824,12.13
212,Temple City,Los Angeles,35558,4.01
213,Bell,Los Angeles,35477,2.5
214,Oakley,Contra Costa,35432,15.85
215,Manhattan Beach,Los Angeles,35135,3.94
216,Hollister,San Benito,34928,7.29
217,Claremont,Los Angeles,34926,13.35
218,San Juan Capistrano,Orange,34593,14.12
219,Moorpark,Ventura,34421,12.58
220,West Hollywood,Los Angeles,34399,1.89
221,Beverly Hills,Los Angeles,34109,5.71
222,San Dimas,Los Angeles,33371,15.04
223,Dana Point,Orange,33351,6.5
224,Pleasant Hill,Contra Costa,33152,7.07
225,Seaside,Monterey,33025,9.24
226,Lawndale,Los Angeles,32769,1.97
227,Wildomar,Riverside,32176,23.69
228,Menlo Park,San Mateo,32026,9.79
229,Adelanto,San Bernardino,31765,56.01
230,La Verne,Los Angeles,31063,8.43
231,Foster City,San Mateo,30567,3.76
232,Laguna Hills,Orange,30344,6.67
233,Saratoga,Santa Clara,29926,12.38
234,Goleta,Santa Barbara,29888,7.9
235,Paso Robles,San Luis Obispo,29793,19.12
236,Banning,Riverside,29603,23.1
237,Los Gatos,Santa Clara,29413,11.08
238,Santa Paula,Ventura,29321,4.59
239,Walnut,Los Angeles,29172,8.99
240,San Pablo,Contra Costa,29139,2.63
241,Los Altos,Santa Clara,28976,6.49
242,Burlingame,San Mateo,28806,4.41
243,San Carlos,San Mateo,28406,5.54
244,Atascadero,San Luis Obispo,28310,25.64
245,Atwater,Merced,28168,6.09
246,East Palo Alto,San Mateo,28155,2.51
247,Suisun City,Solano,28111,4.11
248,Monterey,Monterey,27810,8.47
249,Ridgecrest,Kern,27616,20.77
250,Maywood,Los Angeles,27395,1.18
251,Eureka,Humboldt,27191,9.38
252,Norco,Riverside,27063,13.96
253,Benicia,Solano,26997,12.93
254,Windsor,Sonoma,26801,7.27
255,Imperial Beach,San Diego,26324,4.16
256,Paradise,Butte,26218,18.31
257,Desert Hot Springs,Riverside,25938,23.62
258,Belmont,San Mateo,25835,4.62
259,Soledad,Monterey,25738,4.41
260,South Pasadena,Los Angeles,25619,3.41
261,Wasco,Kern,25545,9.43
262,Lemon Grove,San Diego,25320,3.88
263,Twentynine Palms,San Bernardino,25048,59.14
264,Brawley,Imperial,24953,7.68
265,Corcoran,Kings,24813,7.47
266,Coronado,San Diego,24697,7.93
267,Lemoore,Kings,24531,8.52
268,Sanger,Fresno,24270,5.52
269,Reedley,Fresno,24194,5.08
270,Seal Beach,Orange,24168,11.29
271,Hercules,Contra Costa,24060,6.21
272,Lafayette,Contra Costa,23893,15.22
273,Cudahy,Los Angeles,23805,1.18
274,Galt,Sacramento,23647,5.93
275,San Fernando,Los Angeles,23645,2.37
276,El Cerrito,Contra Costa,23549,3.69
277,Loma Linda,San Bernardino,23261,7.52
278,Selma,Fresno,23219,5.14
279,Calabasas,Los Angeles,23058,12.9
280,Laguna Beach,Orange,22723,8.85
281,Riverbank,Stanislaus,22678,4.09
282,Barstow,San Bernardino,22639,41.38
283,Port Hueneme,Ventura,21723,4.45
284,Millbrae,San Mateo,21532,3.25
285,Dinuba,Tulare,21453,6.47
286,South Lake Tahoe,El Dorado,21403,10.16
287,Duarte,Los Angeles,21321,6.69
288,Blythe,Riverside,20817,26.19
289,Yucca Valley,San Bernardino,20700,40.02
290,Oakdale,Stanislaus,20675,6.04
291,Patterson,Stanislaus,20413,5.95
292,Agoura Hills,Los Angeles,20330,7.79
293,Lomita,Los Angeles,20256,1.91
294,La Ca–ada Flintridge,Los Angeles,20246,8.63
295,South El Monte,Los Angeles,20116,2.84
296,Marina,Monterey,19718,8.88
297,Hermosa Beach,Los Angeles,19506,1.43
298,American Canyon,Napa,19454,4.84
299,Arvin,Kern,19304,4.82
300,Chowchilla,Madera,18720,7.66
301,Albany,Alameda,18539,1.79
302,Pinole,Contra Costa,18390,5.32
303,Dixon,Solano,18351,7.0
304,Lathrop,San Joaquin,18023,21.93
305,Susanville,Lassen,17947,7.93
306,Orinda,Contra Costa,17643,12.68
