Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Mean nonfamily income (dollars),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Total; Estimate; Population 25 to 34 years - High school graduate or higher,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)",MedianAgeYears,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Mean family income (dollars),County,Total; Estimate; Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; Bachelor's degree or higher,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Car, truck, or van - Workers per car, truck, or van",Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars),Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Total; Estimate; High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,"Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)",Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Median nonfamily income (dollars),Total; Estimate; Population 45 to 64 years - High school graduate or higher,Jurisdiction,Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars),Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars),Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Total; Estimate; Less than high school graduate
30565.0,27.8,17859.0,24915.0,29.9,37169.0,60.5,25601.0,28.9,44787.0,Los Angeles,34.9,36483.0,2.7,1.12,7811.0,29.9,33.1,38988.0,22693.0,4.3,24543.0,17404.0,32.4,Huntington Park,13373.0,5206.0,10.2,29.2
15411.0,30.7,16480.0,24041.0,28.8,22285.0,43.5,23049.0,24.7,35262.0,Fresno,15.3,,1.5,1.17,6387.0,28.8,24.3,,19784.0,0.0,11859.0,11810.0,25.0,Huron,49933.0,4550.0,1.8,58.8
40461.0,22.0,21743.0,32285.0,25.5,53750.0,91.4,40399.0,31.0,64186.0,San Diego,40.0,45472.0,3.4,1.08,8502.0,25.5,37.7,61556.0,34117.0,19.1,25357.0,31627.0,80.2,Imperial Beach,21799.0,5132.0,17.0,18.9
63923.0,19.7,16997.0,42778.0,19.2,66875.0,95.5,54139.0,29.9,77973.0,Imperial,47.9,53603.0,10.4,1.04,6001.0,19.2,36.1,76406.0,40596.0,21.8,29609.0,54681.0,82.7,Imperial,27942.0,1033.0,24.4,5.6
92642.0,3.4,,41635.0,26.8,117813.0,80.5,97083.0,66.7,198296.0,Riverside,25.6,62833.0,29.3,1.05,9637.0,26.8,40.2,102708.0,82727.0,54.0,64375.0,33250.0,99.1,Indian Wells,46566.0,3670.0,51.2,4.9
46804.0,31.4,17735.0,35599.0,22.9,54349.0,74.4,38068.0,32.2,67781.0,Riverside,33.5,47842.0,2.0,1.09,10375.0,22.9,37.1,72399.0,36738.0,15.7,24381.0,27246.0,73.5,Indio,29200.0,6145.0,17.7,27.4
43900.0,50.0,,57500.0,22.8,49360.0,100.0,49055.0,37.5,78363.0,Los Angeles,77.8,48841.0,0.0,0.98,,22.8,22.2,,52000.0,19.7,28750.0,34375.0,87.9,Industry,11660.0,,0.0,0.0
43827.0,30.5,18768.0,31822.0,28.5,47928.0,76.8,33938.0,33.4,62345.0,Los Angeles,42.1,41707.0,5.7,1.08,8913.0,28.5,30.5,65896.0,39059.0,17.1,26220.0,31881.0,71.3,Inglewood,28203.0,4218.0,18.5,21.7
26849.0,34.3,,82875.0,24.6,102578.0,,83075.0,48.2,101324.0,Inyo,29.5,86731.0,0.0,1.01,8475.0,24.6,0.0,,70268.0,29.5,,15430.0,85.3,Inyokern,18167.0,,,70.5
79890.0,22.8,19586.0,41722.0,23.6,107064.0,98.3,86173.0,33.9,132457.0,Orange,61.4,62870.0,15.2,1.05,9167.0,23.6,19.8,91835.0,61922.0,64.1,37637.0,64085.0,97.1,Irvine,40158.0,6953.0,68.6,3.6
56997.0,9.7,20962.0,45179.0,23.8,63750.0,84.5,40250.0,34.0,75694.0,Los Angeles,54.1,62188.0,2.6,1.08,8248.0,23.8,31.1,,30800.0,10.6,25341.0,48594.0,67.1,Irwindale,24960.0,4718.0,10.9,12.2
30324.0,14.8,25648.0,40375.0,27.0,29750.0,34.7,37321.0,42.1,42161.0,Sacramento,54.8,17857.0,0.0,1.07,7717.0,27.0,45.2,,27279.0,1.1,11875.0,18750.0,77.8,Isleton,16977.0,882.0,0.0,0.0
37275.0,26.5,20639.0,31355.0,23.8,51698.0,79.9,34199.0,28.2,65371.0,Fresno,48.9,49625.0,1.8,1.12,10525.0,23.8,28.9,68516.0,30889.0,4.6,21636.0,28833.0,44.4,Kerman,11726.0,3938.0,11.9,20.3
44243.0,21.9,16816.0,31449.0,22.3,45976.0,50.3,31520.0,25.9,55320.0,Monterey,25.8,27457.0,0.0,1.23,11340.0,22.3,20.8,67188.0,30893.0,3.7,24569.0,19038.0,34.9,King City,17503.0,3190.0,1.6,53.4
35163.0,19.1,19006.0,42648.0,22.4,62355.0,94.8,50142.0,33.7,78298.0,Fresno,51.5,42083.0,4.6,1.03,8106.0,22.4,31.8,53148.0,39966.0,20.4,20600.0,22054.0,81.5,Kingsburg,20191.0,7064.0,32.8,12.1
96121.0,0.4,16964.0,48583.0,26.3,175134.0,98.2,121889.0,45.9,252110.0,Los Angeles,53.0,79315.0,24.1,1.05,11419.0,26.3,15.3,121204.0,76000.0,76.6,44423.0,65298.0,99.1,La Canada Flintridge,59876.0,1747.0,78.3,7.7
49216.0,18.5,19321.0,41751.0,27.7,68218.0,81.3,42419.0,33.6,83743.0,Orange,48.0,44442.0,5.3,1.07,8895.0,27.7,34.2,77443.0,41014.0,20.9,30327.0,38946.0,80.7,La Habra,25210.0,5666.0,21.6,12.5
88199.0,1.1,55485.0,66947.0,29.0,131528.0,98.7,103750.0,47.6,162047.0,Los Angeles,48.7,63167.0,2.7,1.04,8339.0,29.0,46.0,102417.0,66964.0,46.1,41742.0,79643.0,99.0,La Habra Heights,43284.0,4115.0,54.7,2.7
49752.0,23.0,27763.0,34853.0,23.3,68792.0,95.9,52466.0,37.1,85501.0,San Diego,52.9,47919.0,10.0,1.06,9407.0,23.3,29.2,68462.0,43183.0,33.2,30236.0,38867.0,91.8,La Mesa,26256.0,4823.0,39.3,7.9
56849.0,14.7,20645.0,45307.0,29.3,90146.0,91.7,60253.0,37.9,101991.0,Los Angeles,65.2,57845.0,8.8,1.05,10364.0,29.3,19.8,70640.0,50520.0,28.6,36357.0,34731.0,90.3,La Mirada,27131.0,9915.0,27.9,6.2
66950.0,18.3,30458.0,41385.0,29.8,94500.0,92.6,66829.0,41.2,112339.0,Orange,56.3,59511.0,15.4,1.07,11254.0,29.8,22.2,83958.0,56129.0,43.6,49375.0,53229.0,94.4,La Palma,35585.0,6221.0,42.3,6.1
42962.0,14.7,22454.0,33307.0,31.3,54486.0,71.8,30425.0,31.5,61996.0,Los Angeles,39.2,35523.0,2.3,1.1,9233.0,31.3,33.0,52279.0,27695.0,8.7,26936.0,28333.0,56.6,La Puente,15171.0,5237.0,11.3,25.5
57639.0,17.9,23531.0,38384.0,23.8,76534.0,84.0,59327.0,45.6,110454.0,Riverside,39.9,51387.0,3.4,1.07,9980.0,23.8,39.2,86415.0,41661.0,33.7,29854.0,43077.0,90.6,La Quinta,39567.0,5098.0,19.3,17.5
58329.0,15.0,22500.0,44972.0,29.3,92000.0,93.8,64966.0,42.9,106876.0,Los Angeles,59.9,54904.0,8.0,1.07,10211.0,29.3,24.6,77994.0,52081.0,36.7,31122.0,36949.0,93.0,La Verne,36629.0,5895.0,37.6,7.4
90208.0,7.4,31484.0,43283.0,28.6,168234.0,100.0,136250.0,45.2,208309.0,Contra Costa,47.2,85666.0,24.3,1.04,10192.0,28.6,22.1,120647.0,85352.0,72.6,37941.0,58162.0,97.0,Lafayette,41270.0,9992.0,68.0,6.4
96055.0,24.1,27212.0,41993.0,26.9,135914.0,98.2,105926.0,48.3,204247.0,Orange,55.9,63190.0,8.1,1.03,14745.0,26.9,14.5,97727.0,68730.0,62.8,40938.0,57284.0,98.0,Laguna Beach,42601.0,12495.0,66.8,21.6
71657.0,14.5,26754.0,44676.0,26.0,102184.0,91.0,72523.0,40.8,138724.0,Orange,47.5,60602.0,12.3,1.06,10967.0,26.0,23.6,93378.0,53822.0,48.1,30375.0,58170.0,93.4,Laguna Hills,26727.0,9001.0,45.3,16.6
78180.0,15.1,15625.0,43150.0,28.5,125056.0,96.8,90084.0,42.8,150236.0,Orange,52.3,66901.0,14.0,1.06,10138.0,28.5,27.2,100481.0,61807.0,58.1,29706.0,60020.0,97.3,Laguna Niguel,35055.0,9194.0,48.0,6.5
45547.0,17.3,11023.0,31150.0,26.2,54082.0,100.0,77019.0,77.0,75541.0,Orange,92.9,26630.0,0.0,1.05,9051.0,26.2,0.0,46950.0,51981.0,48.6,21224.0,30365.0,97.3,Laguna Woods,28003.0,4851.0,26.1,7.1
49770.0,19.1,22156.0,35087.0,43.2,65171.0,81.9,44896.0,29.8,74606.0,Riverside,40.8,53102.0,2.9,1.1,8594.0,43.2,38.6,74688.0,39351.0,14.1,31290.0,35734.0,75.9,Lake Elsinore,18728.0,5706.0,15.9,17.7
66883.0,17.1,22861.0,46539.0,25.3,108636.0,92.2,69972.0,37.2,125827.0,Orange,54.8,69009.0,11.8,1.05,8529.0,25.3,23.6,82341.0,53834.0,43.5,32731.0,53872.0,92.9,Lake Forest,29514.0,9267.0,43.6,9.8
40318.0,36.2,15714.0,25944.0,28.4,49327.0,86.9,62625.0,44.2,69211.0,Lake,48.3,62955.0,10.3,1.05,11932.0,28.4,35.4,80577.0,39732.0,26.3,30250.0,22458.0,87.7,Lakeport,46601.0,3921.0,11.3,6.0
55871.0,17.0,23466.0,44693.0,27.7,88123.0,91.0,58802.0,37.5,94312.0,Los Angeles,48.1,60212.0,7.8,1.07,9336.0,27.7,32.4,72414.0,46896.0,27.9,35603.0,43382.0,89.1,Lakewood,22289.0,6207.0,34.9,11.7
44662.0,29.6,23240.0,39675.0,30.6,55572.0,85.1,47678.0,30.4,68993.0,Los Angeles,44.1,56242.0,4.2,1.08,9603.0,30.6,33.0,76888.0,36662.0,18.3,32673.0,33779.0,80.1,Lancaster,25492.0,5567.0,15.0,18.6
53237.0,10.4,19310.0,41264.0,38.2,61009.0,77.6,50300.0,30.5,68637.0,Fresno,34.0,41458.0,4.5,1.07,11120.0,38.2,41.4,48750.0,38229.0,15.4,29167.0,37500.0,78.4,Lathrop,16814.0,4110.0,11.1,20.2
46841.0,21.3,20325.0,33592.0,24.1,48002.0,82.2,34572.0,31.9,58129.0,Los Angeles,41.3,40737.0,4.2,1.07,8669.0,24.1,27.6,55182.0,33246.0,17.6,24939.0,35585.0,68.3,Lawndale,14642.0,4960.0,17.2,26.8
42207.0,28.9,17851.0,37574.0,25.7,56582.0,87.0,44882.0,35.0,68223.0,San Diego,46.4,41567.0,6.5,1.08,8745.0,25.7,28.1,58429.0,36783.0,13.9,34757.0,34701.0,82.8,Lemon Grove,20468.0,5591.0,16.7,18.9
60362.0,22.4,25198.0,38916.0,27.7,81400.0,93.5,58279.0,40.5,89733.0,Placer,55.9,63733.0,1.9,1.06,11385.0,27.7,29.1,64475.0,51103.0,26.1,32879.0,44732.0,93.7,Lincoln,35559.0,6808.0,31.3,13.0
71745.0,14.8,23754.0,50911.0,29.1,111149.0,92.3,85208.0,,130303.0,Alameda,54.2,72897.0,10.5,1.06,10107.0,29.1,23.8,102281.0,52739.0,41.1,40242.0,56540.0,94.2,Livermore,39736.0,5901.0,38.4,11.5
47052.0,28.3,18005.0,36065.0,22.4,55357.0,73.6,45628.0,34.3,74781.0,Fresno,35.5,54310.0,3.5,1.08,9189.0,22.4,38.6,71250.0,38265.0,22.5,29192.0,31802.0,80.1,Lodi,28437.0,4986.0,14.9,22.4
49641.0,12.3,21375.0,35509.0,19.2,65754.0,94.1,49098.0,33.2,93156.0,San Bernardino,39.0,51318.0,29.5,1.05,9334.0,19.2,23.1,66139.0,49964.0,42.1,31163.0,35240.0,83.2,Loma Linda,26622.0,4085.0,59.3,8.5
47238.0,25.7,13224.0,34731.0,26.0,69248.0,90.0,51447.0,39.6,87876.0,Los Angeles,53.2,50653.0,7.9,1.06,9443.0,26.0,22.7,67262.0,45659.0,28.4,31408.0,29522.0,86.9,Lomita,25633.0,3141.0,24.8,16.1
43795.0,31.7,18877.0,35185.0,25.1,50785.0,73.5,36158.0,33.9,64426.0,Santa Barbara,44.8,54299.0,4.7,1.15,9153.0,25.1,28.5,62985.0,38832.0,12.9,29273.0,32492.0,75.1,Lompoc,23554.0,5904.0,14.7,22.0
56697.0,30.0,18650.0,35700.0,28.7,59427.0,84.3,46962.0,33.2,82124.0,Los Angeles,49.0,52965.0,7.5,1.07,9736.0,28.7,27.3,72626.0,42692.0,27.6,26977.0,41542.0,77.7,Long Beach,26878.0,5397.0,30.5,16.2
43297.0,11.8,107571.0,36647.0,25.9,91795.0,98.5,63707.0,42.1,103187.0,Placer,44.6,71868.0,10.4,1.03,5506.0,25.9,36.4,95846.0,48453.0,31.2,36906.0,31322.0,98.8,Loomis,27167.0,4194.0,19.0,8.6
67299.0,20.6,26250.0,44888.0,27.3,89240.0,95.3,67038.0,38.7,114341.0,Orange,50.5,60078.0,10.9,1.04,12697.0,27.3,23.6,84375.0,55015.0,37.7,42313.0,57966.0,92.7,Los Alamitos,28524.0,5319.0,36.6,15.1
115224.0,6.9,31161.0,44155.0,22.1,189551.0,98.8,163184.0,46.2,255507.0,Santa Clara,41.0,100654.0,29.3,1.03,7991.0,22.1,21.0,133082.0,112742.0,83.3,44531.0,55664.0,99.0,Los Altos,30698.0,6647.0,73.0,8.7
187227.0,0.0,,27431.0,22.6,223068.0,97.2,161750.0,50.2,337254.0,Santa Clara,43.5,80481.0,23.8,1.04,7491.0,22.6,15.7,140188.0,101830.0,87.6,48667.0,102875.0,98.7,Los Altos Hills,45216.0,8269.0,82.4,17.1
60038.0,30.3,16957.0,32205.0,29.2,54024.0,80.9,39155.0,34.1,85517.0,Los Angeles,45.5,48483.0,11.1,1.08,9456.0,29.2,24.8,68705.0,38522.0,29.1,23948.0,38517.0,72.3,Los Angeles,26264.0,5342.0,35.7,18.7
92457.0,17.6,31680.0,44531.0,24.8,157899.0,98.2,130313.0,45.0,205123.0,Santa Clara,44.4,92543.0,20.5,1.03,11525.0,24.8,22.1,109096.0,80000.0,70.1,40399.0,67240.0,99.1,Los Gatos,32272.0,10401.0,65.2,12.9
34479.0,29.9,17950.0,31730.0,22.8,43488.0,57.4,31677.0,26.6,52582.0,Madera,31.2,44122.0,1.8,1.14,9317.0,22.8,26.7,62010.0,33430.0,10.2,24455.0,22343.0,61.2,Madera,23248.0,6482.0,7.7,40.3
181781.0,14.6,40313.0,52359.0,32.6,159609.0,98.9,122132.0,47.8,281825.0,Los Angeles,64.9,76319.0,9.5,1.05,10399.0,32.6,15.3,90870.0,76750.0,63.8,40563.0,75710.0,98.7,Malibu,43402.0,5240.0,83.5,10.3
53602.0,9.2,26679.0,29509.0,12.1,70397.0,73.9,36937.0,32.6,74978.0,Mono,45.2,44009.0,17.4,1.16,14293.0,12.1,24.2,14000.0,38067.0,47.0,23500.0,48827.0,88.8,Mammoth Lakes,30274.0,,20.7,13.2
49944.0,17.2,23352.0,39270.0,31.7,66493.0,84.1,50869.0,33.6,76131.0,Fresno,44.9,50390.0,6.1,1.09,10061.0,31.7,33.7,64567.0,39653.0,15.9,30718.0,41931.0,85.0,Manteca,25250.0,4965.0,17.4,15.3
39304.0,26.3,22727.0,23611.0,32.5,41250.0,77.5,45357.0,39.4,50298.0,Kern,35.6,,0.0,1.04,8856.0,32.5,53.4,14792.0,29750.0,3.4,41731.0,23947.0,85.3,Maricopa,12652.0,2565.0,0.0,11.0
48535.0,28.5,16845.0,19615.0,22.7,49821.0,84.9,40938.0,35.6,71096.0,Marin,78.5,63194.0,3.8,1.1,9353.0,22.7,17.6,100227.0,63200.0,38.5,13065.0,35446.0,95.5,Marin City,27278.0,4578.0,35.3,0.0
46663.0,34.0,16081.0,38290.0,23.3,61577.0,81.0,44592.0,34.0,78113.0,Monterey,64.2,52589.0,8.6,1.09,7869.0,23.3,20.7,64318.0,45959.0,22.0,26767.0,35713.0,84.1,Marina,24289.0,4292.0,27.4,6.6
29527.0,63.7,13575.0,11995.0,23.9,33533.0,50.6,29196.0,49.3,46592.0,Mariposa,65.2,62692.0,0.0,1.0,3824.0,23.9,34.8,,24479.0,10.0,22639.0,19102.0,58.6,Mariposa,25865.0,6114.0,16.7,0.0
70121.0,17.5,31303.0,49902.0,27.9,96504.0,94.5,70730.0,42.2,111149.0,Contra Costa,45.2,63880.0,9.2,1.07,10589.0,27.9,28.0,86715.0,60043.0,36.1,36926.0,58683.0,95.1,Martinez,34139.0,5662.0,32.1,17.7
26722.0,27.5,18064.0,27283.0,28.0,37433.0,50.3,26197.0,27.9,46759.0,Los Angeles,34.8,29280.0,2.2,1.1,8218.0,28.0,30.2,61406.0,22405.0,3.4,25513.0,19407.0,31.9,Maywood,13691.0,4559.0,6.1,32.8
23639.0,29.0,13758.0,26976.0,23.6,33772.0,54.8,25717.0,25.7,39929.0,Kern,20.1,16964.0,0.4,1.28,9146.0,23.6,33.9,71979.0,25161.0,3.9,19669.0,14038.0,30.1,McFarland,9468.0,4629.0,5.2,45.6
51063.0,0.0,,45807.0,17.2,56722.0,100.0,47396.0,56.1,103595.0,Mendocino,15.6,43480.0,3.1,,,17.2,81.3,26500.0,25833.0,63.8,,51927.0,90.9,Mendocino,44610.0,,0.0,0.0
21219.0,44.9,10958.0,21576.0,29.3,24621.0,40.4,23104.0,26.2,30898.0,Fresno,26.3,13672.0,1.0,1.5,5526.0,29.3,22.7,,19813.0,0.4,17936.0,14315.0,26.4,Mendota,15417.0,5047.0,3.7,50.0
104857.0,14.6,25947.0,35758.0,22.1,157153.0,94.9,109970.0,38.7,218146.0,San Mateo,40.9,78005.0,31.4,1.05,10155.0,22.1,20.1,102286.0,76230.0,69.4,27089.0,77228.0,92.0,Menlo Park,38735.0,7452.0,74.0,7.7
35561.0,34.5,15675.0,29650.0,22.4,43679.0,75.9,40476.0,28.1,57615.0,Merced,55.1,45657.0,2.9,1.06,10079.0,22.4,27.9,61736.0,32401.0,16.5,26269.0,25279.0,72.6,Merced,23267.0,5226.0,15.4,14.1
64519.0,7.8,29464.0,47014.0,27.5,100059.0,92.7,71526.0,44.8,126674.0,San Mateo,46.1,66861.0,28.6,1.07,10944.0,27.5,18.0,94323.0,54520.0,39.2,35298.0,48465.0,93.1,Millbrae,33457.0,8132.0,52.4,7.4
77193.0,12.8,22185.0,44417.0,23.3,100223.0,92.3,67172.0,36.1,118488.0,Santa Clara,46.6,64483.0,14.5,1.08,10423.0,23.3,29.1,100844.0,53945.0,37.3,31101.0,59543.0,86.2,Milpitas,22673.0,6333.0,49.7,9.8
71328.0,15.7,23656.0,48682.0,26.6,108545.0,96.2,79571.0,42.2,125517.0,Orange,55.4,72128.0,11.8,1.05,10926.0,26.6,24.3,90733.0,56633.0,47.7,32270.0,53315.0,95.1,Mission Viejo,30996.0,8641.0,38.9,8.4
42592.0,29.4,16895.0,35156.0,25.2,53999.0,83.5,48132.0,34.2,70623.0,Stanislaus,46.6,55776.0,3.4,1.07,10196.0,25.2,35.3,71767.0,38562.0,20.3,26897.0,30263.0,82.2,Modesto,23690.0,5113.0,13.7,14.7
,,,,,,100.0,,41.0,,Mono,,,,,,,,,,,,,,Mono City,,,0.0,
58939.0,11.4,19880.0,40729.0,28.3,83097.0,91.6,60863.0,37.9,100217.0,Los Angeles,45.4,59417.0,6.9,1.05,8808.0,28.3,36.3,74679.0,44556.0,33.0,27165.0,43273.0,87.9,Monrovia,29373.0,5807.0,36.0,11.4
35202.0,22.0,20227.0,34544.0,30.9,51452.0,78.3,35612.0,30.7,61817.0,San Bernardino,43.8,39107.0,6.7,1.07,8621.0,30.9,32.2,47250.0,31818.0,11.3,27068.0,27386.0,67.5,Montclair,17260.0,5801.0,17.4,17.3
73595.0,0.0,,66042.0,29.2,221250.0,100.0,166250.0,48.3,297083.0,Santa Clara,38.3,137105.0,37.6,1.04,24631.0,29.2,24.1,160078.0,137007.0,72.3,25341.0,56750.0,99.6,Monte Sereno,37191.0,,59.8,0.0
39382.0,18.4,21100.0,35520.0,33.6,54931.0,81.2,35882.0,34.7,70089.0,Los Angeles,44.6,45771.0,5.2,1.08,10445.0,33.6,31.2,67708.0,35284.0,16.0,28695.0,25856.0,67.2,Montebello,23314.0,6218.0,22.3,19.0
54536.0,22.0,17907.0,34777.0,15.9,79340.0,92.6,61790.0,36.9,96024.0,Monterey,45.5,52705.0,24.0,1.1,7358.0,15.9,18.9,67175.0,51025.0,41.9,31698.0,43883.0,95.9,Monterey,32269.0,10203.0,54.2,11.5
42092.0,21.2,18631.0,32500.0,28.8,63343.0,94.2,42568.0,43.1,83715.0,Los Angeles,55.8,48646.0,11.4,1.07,9688.0,28.8,25.9,68815.0,40671.0,26.7,23662.0,23257.0,77.9,Monterey Park,28588.0,4876.0,42.1,6.9
65511.0,25.1,24431.0,39894.0,25.0,107810.0,90.7,67500.0,34.7,121978.0,Ventura,55.9,69891.0,8.9,1.06,8487.0,25.0,27.3,92043.0,46787.0,41.9,36210.0,54401.0,89.2,Moorpark,30112.0,5594.0,32.4,7.9
75065.0,17.1,24625.0,39375.0,33.3,156743.0,99.0,133813.0,45.0,191612.0,Contra Costa,76.0,67500.0,7.6,1.06,8347.0,33.3,12.8,120217.0,80673.0,76.2,37188.0,56955.0,98.7,Moraga,43483.0,5963.0,81.2,3.6
48044.0,23.7,23079.0,35330.0,34.2,55717.0,81.8,42273.0,28.6,66862.0,Riverside,39.2,45063.0,3.1,1.09,10081.0,34.2,37.1,62438.0,35615.0,16.6,26729.0,40976.0,76.0,Moreno Valley,25145.0,5499.0,14.2,20.6
67839.0,27.5,19924.0,47273.0,31.0,105778.0,82.9,84467.0,36.8,133281.0,Santa Clara,49.5,75707.0,9.7,1.08,11817.0,31.0,23.5,101543.0,55816.0,38.8,33376.0,48481.0,91.6,Morgan Hill,34630.0,6928.0,30.5,17.3
97654.0,21.3,21319.0,37968.0,21.1,117513.0,92.1,101309.0,35.9,147473.0,Santa Clara,38.4,81297.0,33.9,1.07,9783.0,21.1,18.0,103009.0,71906.0,59.7,30839.0,73257.0,93.4,Mountain View,23345.0,7162.0,70.2,9.6
55415.0,9.9,23617.0,41758.0,34.7,81859.0,92.9,62924.0,33.4,96997.0,Riverside,48.0,59486.0,3.0,1.08,9390.0,34.7,36.6,70490.0,40901.0,30.2,31252.0,42357.0,93.8,Murrieta,23543.0,3789.0,23.7,12.4
59489.0,18.6,22995.0,38319.0,21.5,73664.0,70.6,49975.0,37.4,89777.0,Napa,42.6,54348.0,5.5,1.08,9750.0,21.5,33.5,75789.0,44739.0,28.9,29216.0,43125.0,84.3,Napa,28299.0,5253.0,22.7,18.4
35637.0,29.6,19725.0,29240.0,24.6,40598.0,82.5,31660.0,30.2,51605.0,San Diego,43.3,31698.0,4.7,1.11,9156.0,24.6,38.5,37159.0,27253.0,11.8,24694.0,21458.0,66.2,National City,21294.0,5031.0,14.4,13.5
27760.0,38.3,25833.0,26494.0,26.5,33265.0,87.6,45863.0,39.3,48363.0,San Bernardino,27.4,31750.0,4.1,1.06,10044.0,26.5,43.5,81250.0,31580.0,9.4,20926.0,18830.0,79.7,Needles,20963.0,2997.0,1.1,24.9
57774.0,100.0,,24792.0,24.3,71860.0,90.4,48622.0,47.5,102605.0,Nevada,30.4,39375.0,6.5,1.06,15948.0,24.3,24.9,42309.0,38750.0,46.2,20549.0,49500.0,97.1,Nevada City,35669.0,4357.0,46.5,38.2
77073.0,15.4,28851.0,48261.0,27.1,88070.0,95.5,54392.0,35.4,99169.0,Alameda,45.0,64797.0,6.6,1.08,12282.0,27.1,34.1,77881.0,52519.0,25.7,38656.0,63611.0,89.9,Newark,22360.0,4516.0,35.7,14.3
107223.0,23.8,20264.0,45018.0,23.3,146011.0,98.9,104657.0,44.0,226329.0,Orange,52.1,68408.0,22.5,1.03,9562.0,23.3,19.4,109052.0,63323.0,64.9,42258.0,71224.0,97.3,Newport Beach,46699.0,8417.0,71.4,6.0
56084.0,16.3,27000.0,41726.0,35.5,95585.0,82.3,60437.0,39.5,108024.0,Riverside,43.6,68277.0,9.4,1.1,12039.0,35.5,27.4,74100.0,45236.0,19.5,32799.0,40085.0,82.2,Norco,35192.0,7901.0,16.2,19.6
45586.0,18.1,23481.0,38361.0,28.2,63196.0,82.8,40027.0,32.5,72772.0,Los Angeles,45.1,41725.0,4.8,1.08,9524.0,28.2,35.1,51832.0,37161.0,14.3,31237.0,33529.0,71.0,Norwalk,18737.0,6432.0,17.7,15.1
60577.0,31.6,18888.0,33113.0,28.3,59596.0,85.1,50651.0,36.2,91124.0,Alameda,44.5,51331.0,12.6,1.11,9805.0,28.3,24.4,70964.0,50940.0,35.5,24028.0,43057.0,80.1,Oakland,28535.0,5349.0,42.5,18.5
53429.0,18.2,21855.0,37687.0,27.5,68146.0,84.4,46502.0,35.2,81660.0,San Diego,46.3,52847.0,6.2,1.08,9476.0,27.5,35.0,66117.0,39065.0,26.5,29358.0,38208.0,86.2,Oceanside,27511.0,5613.0,21.3,12.5
44726.0,22.1,13259.0,22784.0,22.9,80104.0,85.6,54899.0,47.1,103114.0,Ventura,42.5,42049.0,0.8,1.07,8365.0,22.9,42.6,77014.0,39107.0,44.3,37604.0,35561.0,92.0,Ojai,30503.0,13481.0,27.8,14.2
45027.0,22.9,21315.0,34890.0,28.4,55769.0,78.9,40317.0,29.9,66003.0,San Bernardino,43.5,46912.0,4.1,1.1,9933.0,28.4,31.2,62500.0,33905.0,12.3,26554.0,37025.0,67.5,Ontario,21904.0,4701.0,16.1,21.2
66908.0,20.5,20838.0,41111.0,25.1,86226.0,81.0,55426.0,34.8,106195.0,Orange,54.0,59856.0,8.7,1.06,8868.0,25.1,24.4,80010.0,45573.0,33.3,30662.0,50455.0,86.3,Orange,28169.0,6930.0,31.5,12.8
