County,Jurisdiction,Target_ResPPD_2013,Annual_ResPPD_2013,Target_EmpPPD_2013,Annual_EmpPPD_2013,Diversity_Index,Voter_Registration_Rate,Rep_Dem_Ratio,Major_Minor_Crime_Ratio,Percent_Violent,TotCrime/1000People,Crime_Index,HH_Income_Ratio,Fam_Income_Ratio,gMean_Income_Index,PerCapitaIncome_Index,Travel_Time_Index,gMedian_Income_Index,MF_MedianEarnings_Index,Solar_ResUnits/Person,Solar_ResUnits/HH
Contra Costa,Concord,5.7,3.6,12.1,10.0,0.5582145103037233,0.46151703572628144,0.5154677461284213,0.04665825977301387,4.457831325301205,74.79498963683878,0.04471176751539077,0.39002798270160266,0.2601698703620921,0.4902500601219482,0.5717949462271084,0.7021074807408172,0.6922507522619942,0.6615368455633337,0.003768422259906445,0.015295604176364967
Contra Costa,Oakley,,,,,0.5598220115491195,0.45992323323549333,0.44065264851200736,0.07021063189568706,6.560449859418932,30.11402122375254,0.16055676324336723,0.2883121468926554,0.19293478260869565,0.48259608399464066,0.5396112047788889,0.8727803768481904,0.7058618059730837,0.6665823331959222,0.005305938135019192,0.021731591723500174
Riverside,Corona,8.6,5.7,18.6,14.3,0.6022569339657606,0.4011904918161891,1.4192434549577406,0.023522578771598666,2.2981983260036887,46.2611731660257,0.03447122269988326,0.25474669699886254,0.19270021617817104,0.5158284028253497,0.5311396980773082,0.7953246766066667,0.7146128783588843,0.6535745640484104,0.01498287109349364,0.06283716833645271
San Diego,Coronado,12.0,9.9,43.9,24.1,0.2207284728306147,0.5567364636209814,1.9143635655897235,0.009874326750448833,0.9777777777777777,59.486040609137056,0.27096258695243464,0.20829909613804437,0.08679142934635205,0.5208914493537685,0.6922515954994952,0.45979594303780336,0.7628307691871512,0.659455670115176,0.006715313028764805,0.02661357921207041
Orange,Costa Mesa,8.5,5.1,11.3,7.1,0.5003381779690117,0.4482993815933067,1.2567666422823702,0.03536842105263158,3.4160227734851567,67.08803201164059,0.04894751923543199,0.3750759878419453,0.27418300653594774,0.5238169843434196,0.5936462417221433,0.5185811025472693,0.7026823642405466,0.6478095802638731,0.0031738814114223354,0.015017857911269849
Los Angeles,Covina,6.1,3.7,13.4,8.9,0.6133602068982313,0.5442924094066449,0.751507399963457,0.05116796440489433,4.867724867724868,59.31458699472759,0.11545984012299189,0.3504117108874657,0.2291313359713586,0.49342838756151924,0.5224741492454076,0.7287056572406659,0.6902844164070739,0.6423748401299797,0.006946187965520127,0.028092739888305972
Los Angeles,Cudahy,3.9,3.3,48.8,33.5,0.5673303601282227,0.2838899390884268,0.18249579225775428,0.1731669266770671,14.76063829787234,31.590002100399076,0.2734429116000125,2.111931119311193,2.3917808219178083,0.3820023563062551,0.3055837472815196,0.7469879984012885,0.5364127036729213,0.49560901371307753,,
Los Angeles,Culver City,8.9,6.1,8.3,4.8,0.6123486451644755,0.6769025023789317,0.27262443438914025,0.049798948345190226,4.74366529169122,87.28750353624977,0.14109384648816736,0.27179725645198793,0.09876959379740435,0.5252945848856276,0.6659914373000816,0.5911010059430607,0.7359305611233657,0.7106362363073496,0.006789599567934573,0.028253424657534245
Santa Clara,Cupertino,4.3,3.3,8.1,5.5,0.7646091182989669,0.46123632122397173,0.5395668892936653,0.025015253203172667,2.4404761904761907,28.815478028198005,0.09086513408835112,0.13261648745519714,0.05786280914605693,0.5703421223745726,0.7132325257952925,0.6050417236752049,0.8086372450244516,0.8189513679563069,0.00723817364755926,0.026749492900608518
Orange,Cypress,9.0,6.5,20.5,14.9,0.6763245802922523,0.5125308564495209,1.216256340467648,0.026680896478121666,2.598752598752599,40.24936195138279,0.110578276763792,0.1848284166164961,0.11872021783526208,0.49723425214270306,0.5806647498760632,0.6803231205899072,0.7260200087390458,0.6853335508906142,0.006526923559683696,0.024687450545972465
San Mateo,Daly City,2.6,2.9,16.8,16.2,0.7919162280655689,0.3847789325870475,0.21930847837245113,0.06040086673889491,5.696040868454662,38.71522798967594,0.05559533236138749,0.27134932920536636,0.1500400962309543,0.5012221816008537,0.5498412258945157,0.6742379288136408,0.7079329429304342,0.6350001012464741,0.0006131147216755832,0.0027207302088818677
Orange,Dana Point,7.3,4.3,27.5,15.7,0.2546555695635133,0.6144043656861863,1.7900449101796407,0.059726962457337884,5.636070853462158,37.24026266078978,0.16790617880735773,0.22550807712350182,0.11850740671291955,0.559460789316518,0.688180444163805,0.666024287110335,0.7452339412718665,0.6945472986984657,0.0023387604569578124,0.008884838819911152
Contra Costa,Danville,,,,,0.3046024597740581,0.6471133947049169,1.243530701754386,0.020531400966183576,2.0118343195266273,20.100382977711174,0.12442658556980973,0.08293032419845961,0.04291260098625538,0.6256788369396442,0.7491891783712248,0.7079101049386011,0.8158591560103738,0.8122550168239094,0.015223958705012013,0.05343129069961596
Yolo,Davis,3.8,2.7,16.6,12.3,0.5612956960226156,0.5628143000822895,0.26987794464814907,0.028900112233445567,2.8088355604035997,55.88064978208528,0.0813885297916968,0.611138014527845,0.15663252560579566,0.4703415685746144,0.5807531470096319,0.47720496479839514,0.6738432963827863,0.6992059057536063,0.009813781963365945,0.0540041928721174
San Diego,Del Mar,20.3,12.6,24.6,10.6,0.11548672308254182,0.7695265561163182,1.0119266055045872,0.0446927374301676,4.278074866310161,89.88223984619081,1.3076607715905395,0.12552011095700416,0.0584958217270195,,0.8761551512789527,0.46565688604361444,0.798545037262248,0.7610832064745615,0.04037490987743331,0.15300546448087432
Monterey,Del Rey Oaks,5.7,3.8,24.0,8.8,0.3283051032541434,0.6730295566502463,0.5337078651685393,0.0641025641025641,6.024096385542169,51.108374384236456,3.449759629651612,0.17630057803468208,0.032846715328467155,0.5186810932358301,0.6114108882714654,0.3569971303901036,0.7208267862868758,0.6606861419985013,,
Kern,Delano,4.0,4.3,11.9,11.7,0.6992228800177223,0.21869874248223073,0.2867094659199563,0.07824765763484426,7.2569281352747765,80.27752116287401,0.10929889494367329,1.6788617886178863,1.6604973973395025,0.3828628470943246,0.2853125404471413,0.5051126304421554,0.5214469756937694,0.5161109250620881,0.0022624007842989386,0.013406323315830634
Riverside,Desert Hot Springs,3.8,3.4,31.4,35.1,0.5937562035523762,0.3654098234250906,1.120956399437412,0.12539610683567226,11.142397425583267,95.84393553859202,0.2363455103378829,2.2543227665706054,1.7243852459016393,0.4216228728077602,0.3750204862214282,0.7559186311346546,0.541974577916279,0.5428808795332096,0.01287686020510448,0.057765479072985126
Los Angeles,Diamond Bar,4.6,3.3,17.3,12.5,0.7969294523818351,0.5736713236353161,0.9108286080117066,0.03496897913141568,3.3787465940054497,33.03687166930722,0.09629795913081256,0.1618457300275482,0.11713520749665328,0.46151180223962224,0.5952700167933417,0.7733797834920169,0.7495868639890522,0.6771536627608528,0.005491142157568774,0.02054840665633632
Solano,Dixon,9.9,4.1,22.1,13.7,0.46802127315891784,0.501171598278023,0.8992422116194219,0.0425273390036452,4.0792540792540795,46.75494523459212,0.29628156160770186,0.2660958904109589,0.24662965900079303,0.49490245809780237,0.5389706831594689,0.5238825837898009,0.6908157936003475,0.6477042956623759,0.0070295896681379765,0.027569993588373583
Los Angeles,Downey,6.2,3.4,22.0,10.6,0.5994593611445267,0.49369251690942273,0.4952570601013758,0.049446382526922496,4.711663535192947,61.90280213291343,0.049130376940561965,0.41972441554420187,0.3178850574712644,0.4442632841319016,0.49157799489142134,0.6555918278441569,0.6627829834377288,0.606192126226932,0.0022635364849872956,0.009550773876934692
Alameda,Dublin,5.9,3.1,14.7,8.3,0.7060019331846821,0.4954383525936224,0.5591949892186056,0.04720161834120027,4.507405022537025,33.73446867668781,0.11882131271939982,0.10679611650485436,0.048479963150621835,0.5247010757318551,0.6520488650789701,0.726845499617563,0.7976928841796194,0.7518036351087596,0.004387870362325137,0.019033261094883635
San Mateo,East Palo Alto,8.5,2.4,119.4,18.9,0.7382879177382756,0.30534540934114723,0.1361044693764944,0.29061976549413737,22.517845554834523,54.73272953294264,0.2597560943285703,0.6548245614035088,0.5046403712296984,0.47038095949325814,0.4325539045961947,0.5695444231821336,0.6313171045807884,0.5714846538739942,0.00010655301012253596,0.0005682894487592347
San Diego,El Cajon,7.4,4.9,18.8,13.5,0.49521004215882536,0.4060194213796015,1.1034227840615065,0.07047653825086726,6.583660242196828,58.93765455678643,0.05729207160679446,1.1343841214244017,0.892318339100346,0.4619214728592959,0.4519284952279457,0.5719793282660661,0.6044405752784251,0.5880691813398228,0.012123283540079214,0.05104977988486285
El Dorado,El Dorado Hills,5.3,3.4,23.2,17.6,0.30181036849257203,2.2099601025933313,1.649340633916866,,,,,0.08297789841023652,0.03502945902517408,0.5577700197118425,0.6752358072325504,0.7098315528725829,0.773668571224061,0.7560876261630735,0.01833380830246034,0.06399734726021719
Los Angeles,El Monte,6.8,4.2,29.5,19.2,0.727075426002478,0.3202203128442388,0.3338624917889205,0.07771428571428571,7.21102863202545,41.55100242344129,0.050678963067109915,1.3033656062701706,1.1194782608695653,0.4400900193563072,0.3748435747333136,0.7079101049386011,0.5571003267904768,0.5212350130953429,0.0008900638907248293,0.0043260376065447385
Los Angeles,El Segundo,44.2,16.5,15.1,4.8,0.38363251183184544,0.6831391857811937,1.1084656084656084,0.034195933456561925,3.3065236818588026,67.19106520955927,0.3216922072571401,0.205450173657494,0.11753800519095291,0.4892610113195902,0.6554376334684381,0.5212378675997835,0.7537316090081113,0.7261861706973977,0.006124654737600576,0.02484774665042631
Sacramento,Elk Grove,5.9,2.6,27.5,15.2,0.7504848646935778,0.5058850439499395,0.7212146397934044,0.07899612598955702,7.32126131751483,41.86517661667157,0.037547919761079955,0.2172686230248307,0.16188814486466094,0.5140699923305471,0.5504826985148166,0.7059823050990724,0.722007139693553,0.6753454065358552,,
Alameda,Emeryville,16.2,9.6,6.7,4.7,0.7502222694633409,0.5555555555555556,0.11966577141151895,0.039951573849878935,3.8416763678696157,340.87301587301585,0.5347210673171092,0.48001537279016143,0.36236236236236236,0.5026008861194032,0.6871139088386976,0.6680885686300368,0.7151781123469936,0.7062836094006154,0.0008928571428571428,0.004904632152588556
